global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 131 3, 72 2, 47 4",30,130,71,19,0.64,0.87248322147651,0.6467661691542289,0.7428571428571429,0.6477815006599655
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 105 3, 56 2, 39 4",26,134,65,25,0.64,0.8427672955974843,0.6733668341708543,0.7486033519553073,0.6137550497585968
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 80 3, 40 2, 30 4",22,131,73,24,0.612,0.8451612903225807,0.6421568627450981,0.7298050139275768,0.603154305200341
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 48 3, 32 2, 20 4",32,139,62,17,0.684,0.8910256410256411,0.6915422885572139,0.7787114845938374,0.7501269164382172
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 25 3, 13 2, 12 4",32,132,68,18,0.656,0.88,0.66,0.7542857142857142,0.6889000000000001
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,21,136,65,28,0.628,0.8292682926829268,0.6766169154228856,0.745205479452055,0.6121433648086101
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 158 2, 100 4",25,146,53,26,0.684,0.8488372093023255,0.7336683417085427,0.7870619946091643,0.6816435116760272
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 213 3, 147 2, 90 4",25,118,89,18,0.572,0.8676470588235294,0.5700483091787439,0.6880466472303207,0.680934726435232
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 188 3, 136 2, 76 4",29,82,135,4,0.444,0.9534883720930233,0.3778801843317972,0.5412541254125413,0.6522832006702974
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 164 3, 120 2, 66 4",27,154,51,18,0.724,0.8953488372093024,0.751219512195122,0.8169761273209549,0.7204336043360433
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 104 2, 54 4",23,114,105,8,0.548,0.9344262295081968,0.5205479452054794,0.6686217008797654,0.6254234791574607
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 114 3, 88 2, 48 4",19,138,70,23,0.628,0.8571428571428571,0.6634615384615384,0.7479674796747967,0.5918040293040293
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 87 3, 71 2, 42 4",21,130,82,17,0.604,0.8843537414965986,0.6132075471698113,0.724233983286908,0.6315789473684211
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 53 2, 31 4",25,135,71,19,0.64,0.8766233766233766,0.6553398058252428,0.7499999999999999,0.6946160635481025
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 45 3, 34 2, 21 4",24,139,67,20,0.652,0.8742138364779874,0.6747572815533981,0.7616438356164383,0.6847969991173875
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 13 2, 13 4",24,119,99,8,0.572,0.937007874015748,0.5458715596330275,0.689855072463768,0.7125860091743119
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,21,153,55,21,0.696,0.8793103448275862,0.7355769230769231,0.8010471204188483,0.67742673992674
1,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 239 3, 162 2, 99 4",22,137,67,24,0.636,0.8509316770186336,0.6715686274509803,0.7506849315068493,0.6518542199488492
1,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 216 3, 146 2, 88 4",26,126,87,11,0.608,0.9197080291970803,0.5915492957746479,0.7199999999999999,0.6530897094277377
1,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 190 3, 137 2, 73 4",23,116,96,15,0.556,0.8854961832061069,0.5471698113207547,0.6763848396501457,0.596077457795432
1,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 169 3, 116 2, 65 4",29,112,101,8,0.564,0.9333333333333333,0.5258215962441315,0.6726726726726727,0.7350590026646364
1,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 147 3, 97 2, 56 4",26,148,57,19,0.696,0.8862275449101796,0.7219512195121951,0.7956989247311828,0.698211382113821
1,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 125 3, 79 2, 46 4",18,139,68,25,0.628,0.8475609756097561,0.6714975845410628,0.7493261455525606,0.6319514661274014
1,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 101 3, 68 2, 31 4",22,133,78,17,0.62,0.8866666666666667,0.6303317535545023,0.7368421052631579,0.6356786972900716
1,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 78 3, 49 2, 23 4",24,152,48,26,0.704,0.8539325842696629,0.76,0.8042328042328041,0.6698
1,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 55 3, 31 2, 14 4",24,123,90,13,0.588,0.9044117647058824,0.5774647887323944,0.7048710601719198,0.6777058748889735
1,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 28 3, 14 2, 8 4",31,136,64,19,0.668,0.8774193548387097,0.68,0.7661971830985915,0.7093999999999999
1,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,24,142,61,23,0.664,0.8606060606060606,0.6995073891625616,0.7717391304347827,0.6370401425427105
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 249 3, 153 2, 98 4",26,111,95,18,0.548,0.8604651162790697,0.5388349514563107,0.6626865671641791,0.6063548102383053
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 226 3, 133 2, 91 4",22,129,80,19,0.604,0.8716216216216216,0.6172248803827751,0.722689075630252,0.6209592717936747
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 201 3, 121 2, 78 4",22,120,84,24,0.568,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.591538789428815
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 174 3, 106 2, 70 4",22,98,116,14,0.48,0.875,0.45794392523364486,0.6012269938650306,0.5920301142263759
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 152 3, 91 2, 57 4",23,121,86,20,0.576,0.8581560283687943,0.5845410628019324,0.6954022988505747,0.61139197842939
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 131 3, 72 2, 47 4",30,130,71,19,0.64,0.87248322147651,0.6467661691542289,0.7428571428571429,0.6477815006599655
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 105 3, 56 2, 39 4",26,134,65,25,0.64,0.8427672955974843,0.6733668341708543,0.7486033519553073,0.6137550497585968
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 80 3, 40 2, 30 4",22,131,73,24,0.612,0.8451612903225807,0.6421568627450981,0.7298050139275768,0.603154305200341
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 48 3, 32 2, 20 4",32,139,62,17,0.684,0.8910256410256411,0.6915422885572139,0.7787114845938374,0.7501269164382172
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 25 3, 13 2, 12 4",32,132,68,18,0.656,0.88,0.66,0.7542857142857142,0.6889000000000001
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,21,136,65,28,0.628,0.8292682926829268,0.6766169154228856,0.745205479452055,0.6121433648086101
