seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 17 2, 9 4",161,9,4,76,0.10588235294117647,0.68,0.6923076923076923,0.1836734693877551
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,141,6,3,100,0.05660377358490566,0.588,0.6666666666666666,0.10434782608695653
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 162 2, 96 4",158,5,8,79,0.05952380952380952,0.652,0.38461538461538464,0.10309278350515462
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 216 3, 147 2, 87 4",188,4,10,48,0.07692307692307693,0.768,0.2857142857142857,0.12121212121212123
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 194 3, 131 2, 75 4",147,5,7,91,0.052083333333333336,0.608,0.4166666666666667,0.0925925925925926
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 166 3, 119 2, 65 4",154,7,6,83,0.07777777777777778,0.644,0.5384615384615384,0.13592233009708737
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 100 2, 58 4",147,9,5,89,0.09183673469387756,0.624,0.6428571428571429,0.16071428571428573
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 119 3, 83 2, 48 4",154,9,4,83,0.09782608695652174,0.652,0.6923076923076923,0.17142857142857143
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 90 3, 70 2, 40 4",184,12,6,48,0.2,0.784,0.6666666666666666,0.30769230769230765
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 56 2, 28 4",162,12,4,72,0.14285714285714285,0.696,0.75,0.24
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 36 2, 17 4",161,10,3,76,0.11627906976744186,0.684,0.7692307692307693,0.20202020202020202
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 17 2, 9 4",161,9,4,76,0.10588235294117647,0.68,0.6923076923076923,0.1836734693877551
N/A,Binary,'Ab_krupitskyA_2011',pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,141,6,3,100,0.05660377358490566,0.588,0.6666666666666666,0.10434782608695653
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 162 2, 96 4",73,72,61,44,0.6206896551724138,0.58,0.5413533834586466,0.5783132530120483
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 216 3, 147 2, 87 4",73,71,64,42,0.6283185840707964,0.576,0.5259259259259259,0.5725806451612903
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 194 3, 131 2, 75 4",73,90,37,50,0.6428571428571429,0.652,0.7086614173228346,0.6741573033707865
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 166 3, 119 2, 65 4",70,70,71,39,0.6422018348623854,0.56,0.49645390070921985,0.5599999999999999
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 100 2, 58 4",65,85,49,51,0.625,0.6,0.6343283582089553,0.6296296296296297
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 119 3, 83 2, 48 4",58,88,37,67,0.567741935483871,0.584,0.704,0.6285714285714286
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 90 3, 70 2, 40 4",71,80,61,38,0.6779661016949152,0.604,0.5673758865248227,0.6177606177606179
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 56 2, 28 4",60,82,58,50,0.6212121212121212,0.568,0.5857142857142857,0.6029411764705882
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 36 2, 17 4",57,89,45,59,0.6013513513513513,0.584,0.664179104477612,0.6312056737588652
